5       6847.3 19.1546339		42      1725.9  22.18833527
5.6     6140.8 17.89351217		58      1811.7 29.86655506
6.2     5524.6 24.68107687		84      1956.5 25.3344298
6.7     5140.4 22.48060893		98      2039.6 27.91335801
7.2     4786.5 20.76455313		121     2151.3 25.71661806
7.8     4394.5 21.58831989		146     2286.4 27.23641353
8.4     4087.7 27.8689393		172     2446.2 22.32487402
8.9     3853.1 13.33708281		210     2644.2 33.18567295
9.4     3630.3 18.00030864		225     2734.5 18.17965896
9.8     3500.4 20.82306414		246     2841.4 34.4615728
10.3    3349.4 24.69007898		258     2917.3 24.33127845
11      3118.7 27.19906044		282     3031.5 29.7143811
11.4    3013.7 19.51096558		306     3186.2 18.31089536
11.9    2886.2 24.14677342		323     3271.4 27.53260693
12.5    2739.3 25.23247467		362     3456.2 14.80840602
13      2637.5 28.72958212		383     3600.2 23.23694377
13.6    2509.8 22.97728347		401     3701.8 18.23184028
14.2    2412.8 22.72932516		427     3831.1 20.93614631
14.6    2335.9 19.63811487		452     3965.1 27.75467929
15      2281.1 24.246191		484     4138.3 19.48817305

